Date,Close,tby,ffr,fta,eps,div,une
2002-12-31,879.82,3.83,1.24,733136.0,40.4,1.79,6.0
2003-01-31,855.7,4.0,1.24,714316.0,41.55,1.8,5.8
2003-02-28,841.15,3.71,1.26,723222.0,42.55,1.93,5.9
2003-03-31,848.18,3.83,1.25,726250.0,43.6,1.92,5.9
2003-04-30,916.92,3.89,1.26,747460.0,45.73,1.82,6.0
2003-06-30,974.5,3.54,1.22,745266.0,49.82,1.64,6.3
2003-07-31,990.31,4.49,1.01,741559.0,51.7,1.64,6.2
2003-09-30,995.97,3.96,1.01,742314.0,55.18,1.63,6.1
2003-10-31,1050.71,4.33,1.01,748784.0,60.09,1.62,6.0
2003-12-31,1111.92,4.27,0.98,772995.0,70.05,1.61,5.7
2004-03-31,1126.21,3.86,1.0,761743.0,73.5,1.6,5.8
2004-04-30,1107.3,4.53,1.0,774058.0,75.21,1.61,5.6
2004-06-30,1140.84,4.62,1.03,780361.0,78.4,1.64,5.6
2004-08-31,1104.24,4.13,1.43,776216.0,79.99,1.74,5.4
2004-09-30,1114.58,4.14,1.61,787410.0,80.58,1.71,5.4
2004-11-30,1173.82,4.36,1.93,810970.0,80.84,1.66,5.4
2004-12-31,1211.92,4.24,2.16,811962.0,81.5,1.62,5.4
2005-01-31,1181.27,4.14,2.28,808012.0,82.1,1.67,5.3
2005-02-28,1203.6,4.36,2.5,805727.0,82.4,1.66,5.4
2005-03-31,1180.59,4.5,2.63,808487.0,82.52,1.69,5.2
2005-05-31,1191.5,4.0,3.0,810921.0,84.81,1.76,5.1
2005-06-30,1191.33,3.94,3.04,810968.0,86.15,1.74,5.0
2005-08-31,1220.33,4.02,3.5,824574.0,88.2,1.74,4.9
2005-09-30,1228.81,4.34,3.62,824750.0,88.56,1.75,5.0
2005-10-31,1207.01,4.57,3.78,820062.0,89.87,1.82,5.0
2005-11-30,1249.48,4.49,4.0,836054.0,92.1,1.78,5.0
2006-01-31,1280.08,4.53,4.29,830100.0,94.54,1.75,4.7
2006-02-28,1280.66,4.55,4.49,842380.0,95.61,1.77,4.8
2006-03-31,1294.83,4.86,4.59,834635.0,96.34,1.76,4.7
2006-05-31,1270.09,5.12,4.94,853554.0,96.64,1.8,4.6
2006-06-30,1270.2,5.15,4.99,845679.0,97.24,1.87,4.6
2006-07-31,1276.66,4.99,5.24,842511.0,98.73,1.88,4.7
2006-08-31,1303.82,4.74,5.25,852299.0,100.3,1.85,4.7
2006-10-31,1377.94,4.61,5.25,853681.0,104.42,1.79,4.4
2006-11-30,1400.63,4.46,5.25,857498.0,105.86,1.77,4.5
2007-01-31,1438.24,4.83,5.25,866559.0,107.38,1.76,4.6
2007-02-28,1406.82,4.56,5.26,878205.0,107.52,1.75,4.5
2007-04-30,1482.37,4.63,5.25,880456.0,107.32,1.76,4.5
2007-05-31,1530.62,4.9,5.25,878220.0,107.42,1.72,4.4
2007-07-31,1455.27,4.78,5.26,864700.0,105.31,1.74,4.7
2007-08-31,1473.99,4.54,5.02,873589.0,102.82,1.84,4.6
2007-10-31,1549.38,4.48,4.76,884044.0,94.4,1.77,4.7
2007-11-30,1481.14,3.97,4.49,879893.0,88.62,1.88,4.7
2007-12-31,1468.36,4.04,4.24,891158.0,83.46,1.87,5.0
2008-01-31,1378.55,3.67,3.94,900810.0,80.63,2.03,5.0
2008-02-29,1330.63,3.53,2.98,894294.0,77.98,2.07,4.9
2008-03-31,1322.7,3.45,2.61,894437.0,74.91,2.15,5.1
2008-04-30,1385.59,3.77,2.28,888721.0,70.75,2.08,5.0
2008-06-30,1280.0,3.99,2.0,893196.0,62.18,2.14,5.6
2008-07-31,1267.38,3.99,2.01,919115.0,59.68,2.29,5.8
2008-09-30,1166.36,3.85,1.81,1212299.0,55.63,2.37,6.1
2008-10-31,968.75,4.01,0.97,1969444.0,43.53,2.96,6.5
2008-12-31,903.25,2.25,0.16,2239854.0,18.75,3.23,7.3
2009-03-31,797.87,2.71,0.18,2071847.0,8.54,3.6,8.7
2009-04-30,872.81,3.16,0.15,2067131.0,8.79,3.15,9.0
2009-06-30,919.32,3.53,0.21,2025828.0,9.22,2.76,9.5
2009-07-31,987.48,3.52,0.16,2000966.0,11.3,2.67,9.5
2009-08-31,1020.62,3.4,0.16,2075243.0,13.33,2.42,9.6
2009-09-30,1057.08,3.31,0.15,2141302.0,15.38,2.29,9.8
2009-11-30,1095.63,3.21,0.12,2206591.0,46.72,2.1,9.9
2009-12-31,1115.1,3.85,0.12,2234309.0,62.52,2.02,9.9
2010-03-31,1169.43,3.84,0.16,2307201.0,74.16,1.9,9.9
2010-04-30,1186.69,3.69,0.2,2330517.0,76.53,1.83,9.9
2010-06-30,1030.71,2.97,0.18,2330901.0,81.54,2.03,9.4
2010-08-31,1049.33,2.47,0.19,2301100.0,85.26,2.05,9.5
2010-09-30,1141.2,2.53,0.19,2298781.0,87.14,1.99,9.5
2010-11-30,1180.55,2.81,0.19,2346097.0,91.42,1.89,9.8
2010-12-31,1257.64,3.3,0.18,2420674.0,93.48,1.83,9.3
2011-01-31,1286.12,3.42,0.17,2443637.0,94.62,1.79,9.1
2011-02-28,1327.22,3.42,0.16,2533359.0,95.74,1.76,9.0
2011-03-31,1325.83,3.47,0.14,2622616.0,96.38,1.8,9.0
2011-05-31,1345.2,3.05,0.09,2775137.0,97.31,1.8,9.0
2011-06-30,1320.64,3.18,0.09,2865408.0,98.42,1.89,9.1
2011-08-31,1218.89,2.23,0.1,2854000.0,100.49,2.1,9.0
2011-09-30,1131.42,1.92,0.08,2851028.0,101.54,2.15,9.0
2011-10-31,1253.3,2.17,0.07,2845777.0,101.74,2.12,8.8
2011-11-30,1246.96,2.08,0.08,2814313.0,101.82,2.12,8.6
2012-01-31,1312.41,1.83,0.08,2919667.0,102.23,2.06,8.3
2012-02-29,1365.68,1.98,0.1,2925788.0,102.4,2.0,8.3
2012-04-30,1397.91,1.95,0.14,2866675.0,101.69,2.0,8.2
2012-05-31,1310.33,1.59,0.16,2842777.0,101.57,2.09,8.2
2012-07-31,1379.32,1.51,0.16,2846805.0,101.1,2.11,8.2
2012-08-31,1406.58,1.57,0.13,2813001.0,100.0,2.08,8.1
2012-10-31,1412.16,1.72,0.16,2823137.0,99.05,2.1,7.8
2012-11-30,1416.18,1.62,0.16,2851362.0,99.53,2.2,7.7
2012-12-31,1426.19,1.78,0.16,2907300.0,99.8,2.2,7.9
2013-01-31,1498.11,2.02,0.14,3008704.0,99.96,2.13,8.0
2013-02-28,1514.68,1.89,0.15,3090600.0,99.6,2.1,7.7
2013-04-30,1597.57,1.7,0.15,3318649.0,101.13,2.07,7.6
2013-05-31,1630.74,2.16,0.11,3385128.0,102.19,2.01,7.5
2013-07-31,1685.73,2.6,0.09,3571797.0,104.42,2.02,7.3
2013-09-30,1681.55,2.64,0.08,3734018.0,106.75,2.04,7.2
2013-10-31,1756.54,2.57,0.09,3843396.0,109.23,2.01,7.2
2013-12-31,1848.36,3.04,0.09,4032575.0,113.88,1.94,6.7
2014-01-31,1782.59,2.67,0.07,4102138.0,113.71,1.94,6.6
2014-02-28,1859.45,2.66,0.07,4159972.0,113.53,1.97,6.7
2014-03-31,1872.34,2.73,0.08,4226971.0,113.05,1.94,6.7
2014-04-30,1883.95,2.67,0.09,4296049.0,113.52,1.96,6.2
2014-06-30,1960.23,2.53,0.1,4368348.0,114.6,1.92,6.1
2014-07-31,1930.67,2.58,0.09,4406637.0,115.7,1.91,6.2
2014-09-30,1972.29,2.52,0.09,4459050.0,117.91,1.93,5.9
2014-10-31,2018.05,2.35,0.09,4486754.0,116.85,2.0,5.7
2014-12-31,2058.9,2.17,0.12,4497660.0,115.41,1.92,5.6
2015-03-31,2067.89,1.94,0.11,4480603.0,111.34,1.96,5.4
2015-04-30,2085.51,2.05,0.12,4471499.0,109.49,1.96,5.4
2015-06-30,2063.11,2.35,0.13,4495055.0,105.35,1.99,5.3
2015-07-31,2103.84,2.2,0.13,4485480.0,103.77,2.01,5.2
2015-08-31,1972.18,2.21,0.14,4475105.0,102.34,2.07,5.1
2015-09-30,1920.03,2.06,0.14,4484111.0,100.92,2.19,5.0
2015-11-30,2080.41,2.21,0.12,4477088.0,98.11,2.07,5.1
2015-12-31,2043.94,2.27,0.24,4486587.0,96.9,2.11,5.0
2016-02-29,1932.23,1.74,0.38,4489796.0,96.6,2.3,4.9
2016-03-31,2059.74,1.78,0.36,4482840.0,96.15,2.17,5.0
2016-05-31,2096.96,1.84,0.37,4461111.0,95.66,2.14,4.8
2016-06-30,2098.86,1.49,0.38,4466482.0,95.52,2.13,4.9
2016-08-31,2170.95,1.58,0.4,4457907.0,97.18,2.07,4.9
2016-09-30,2168.27,1.5944,0.4,4452002.0,97.74,2.09,5.0
2016-10-31,2126.15,1.8255,0.4,4454326.0,99.62,2.11,4.9
2016-11-30,2198.81,2.3809,0.41,4446307.0,101.77,2.1,4.7
2017-01-31,2278.87,2.4531,0.65,4452838.0,105.22,2.02,4.7
2017-02-28,2363.64,2.3899,0.66,4468702.0,106.97,1.98,4.6
2017-03-31,2362.72,2.3874,0.79,4469618.0,108.96,1.96,4.4
2017-05-31,2411.8,2.2028,0.91,4459914.0,111.24,1.96,4.4
2017-06-30,2423.41,2.3037,1.04,4463347.0,112.48,1.94,4.3
2017-07-31,2470.3,2.2942,1.15,4465284.0,113.66,1.94,4.3
2017-08-31,2471.65,2.117,1.16,4452360.0,114.42,1.95,4.4
2017-10-31,2575.26,2.3793,1.15,4461117.0,115.99,1.89,4.1
2017-11-30,2647.58,2.42,1.16,4438592.0,116.99,1.88,4.2
2018-01-31,2823.81,2.72,1.41,4419225.0,119.4,1.77,4.0
2018-02-28,2713.83,2.87,1.42,4393401.0,120.83,1.84,4.1
2018-04-30,2648.05,2.95,1.69,4372886.0,124.52,1.9,4.0
2018-05-31,2705.27,2.83,1.7,4327519.0,126.48,1.88,3.8
2018-07-31,2816.29,2.96,1.91,4277681.0,131.51,1.84,3.8
2018-08-31,2901.52,2.86,1.91,4218914.0,134.2,1.82,3.8
2018-10-31,2711.74,3.15,2.19,4139731.0,137.27,1.9,3.8
2018-11-30,2760.17,3.01,2.2,4097170.0,138.43,1.96,3.8
2018-12-31,2506.85,2.69,2.27,4075636.0,139.58,2.09,3.9
2019-01-31,2704.1,2.63,2.4,4039678.0,140.02,2.08,4.0
2019-02-28,2784.49,2.73,2.4,3974590.0,140.12,1.98,3.8
2019-04-30,2945.83,2.51,2.42,3928273.0,139.6,1.9,3.7
2019-05-31,2752.06,2.14,2.39,3851444.0,139.61,1.95,3.7
2019-07-31,2980.38,2.02,2.4,3779102.0,138.83,1.88,3.6
2019-09-30,2976.74,1.68,2.04,3857715.0,137.1,1.92,3.5
2019-10-31,3037.56,1.69,1.83,4019823.0,139.04,1.93,3.6
2019-11-01,3066.91,1.73,1.55,4019823.0,139.04,1.87,3.6
2019-11-04,3078.27,1.79,1.55,4019823.0,139.04,1.87,3.6
2019-11-05,3074.62,1.86,1.55,4019823.0,139.04,1.87,3.6
2019-11-06,3076.78,1.81,1.55,4039443.0,139.04,1.87,3.6
2019-11-07,3085.18,1.92,1.55,4039443.0,139.04,1.87,3.6
2019-11-08,3093.08,1.94,1.55,4039443.0,139.04,1.87,3.6
2019-11-12,3091.84,1.92,1.55,4039443.0,139.04,1.87,3.6
2019-11-13,3094.04,1.88,1.55,4047882.0,139.04,1.87,3.6
2019-11-14,3096.63,1.82,1.55,4047882.0,139.04,1.87,3.6
2019-11-15,3120.46,1.84,1.55,4047882.0,139.04,1.87,3.6
2019-11-18,3122.03,1.81,1.55,4047882.0,139.04,1.87,3.6
2019-11-19,3120.18,1.79,1.55,4047882.0,139.04,1.87,3.6
2019-11-20,3108.46,1.73,1.55,4030249.0,139.04,1.87,3.6
2019-11-21,3103.54,1.77,1.55,4030249.0,139.04,1.87,3.6
2019-11-22,3110.29,1.77,1.55,4030249.0,139.04,1.87,3.6
2019-11-25,3133.64,1.76,1.55,4030249.0,139.04,1.87,3.6
2019-11-26,3140.52,1.74,1.55,4030249.0,139.04,1.87,3.6
2019-11-27,3153.63,1.77,1.55,4052875.0,139.04,1.87,3.6
2019-11-29,3140.98,1.78,1.55,4052875.0,139.04,1.87,3.6
2019-12-31,3230.78,1.92,1.55,4165591.0,143.76,1.83,3.6
2020-01-31,3225.52,1.51,1.55,4151630.0,135.28,1.79,3.5
2020-02-28,2954.22,1.13,1.58,4158637.0,135.28,1.97,3.5
2020-03-31,2584.59,0.7,0.65,5254278.0,119.38,2.25,4.4
2020-04-01,2470.5,0.62,0.05,5811607.0,119.38,2.41,14.8
2020-04-02,2526.9,0.63,0.05,5811607.0,119.38,2.41,14.8
2020-04-03,2488.65,0.62,0.05,5811607.0,119.38,2.41,14.8
2020-04-06,2663.68,0.67,0.05,5811607.0,119.38,2.41,14.8
2020-04-07,2659.41,0.75,0.05,5811607.0,119.38,2.41,14.8
2020-04-08,2749.98,0.77,0.05,6083141.0,119.38,2.41,14.8
2020-04-09,2789.82,0.73,0.05,6083141.0,119.38,2.41,14.8
2020-04-13,2761.63,0.76,0.05,6083141.0,119.38,2.41,14.8
2020-04-14,2846.06,0.76,0.05,6083141.0,119.38,2.41,14.8
2020-04-15,2783.36,0.63,0.05,6367887.0,119.38,2.41,14.8
2020-04-16,2799.55,0.61,0.05,6367887.0,119.38,2.41,14.8
2020-04-17,2874.56,0.65,0.05,6367887.0,119.38,2.41,14.8
2020-04-20,2823.16,0.63,0.05,6367887.0,119.38,2.41,14.8
2020-04-21,2736.56,0.58,0.05,6367887.0,119.38,2.41,14.8
2020-04-22,2799.31,0.63,0.05,6573136.0,119.38,2.41,14.8
2020-04-23,2797.8,0.61,0.05,6573136.0,119.38,2.41,14.8
2020-04-24,2836.74,0.6,0.05,6573136.0,119.38,2.41,14.8
2020-04-27,2878.48,0.67,0.05,6573136.0,119.38,2.41,14.8
2020-04-28,2863.39,0.62,0.05,6573136.0,119.38,2.41,14.8
2020-04-29,2939.51,0.63,0.05,6655929.0,119.38,2.41,14.8
2020-04-30,2912.43,0.64,0.05,6655929.0,114.29,2.16,14.8
2020-05-01,2830.71,0.64,0.05,6655929.0,114.29,2.1,13.3
2020-05-04,2842.74,0.64,0.05,6655929.0,114.29,2.1,13.3
2020-05-05,2868.44,0.66,0.05,6655929.0,114.29,2.1,13.3
2020-05-06,2848.42,0.72,0.05,6721420.0,114.29,2.1,13.3
2020-05-07,2881.19,0.63,0.05,6721420.0,114.29,2.1,13.3
2020-05-08,2929.8,0.69,0.05,6721420.0,114.29,2.1,13.3
2020-05-11,2930.32,0.73,0.05,6721420.0,114.29,2.1,13.3
2020-05-12,2870.12,0.69,0.05,6721420.0,114.29,2.1,13.3
2020-05-13,2820.0,0.64,0.05,6934227.0,114.29,2.1,13.3
2020-05-14,2852.5,0.63,0.05,6934227.0,114.29,2.1,13.3
2020-05-15,2863.7,0.64,0.05,6934227.0,114.29,2.1,13.3
2020-05-18,2953.91,0.73,0.05,6934227.0,114.29,2.1,13.3
2020-05-19,2922.94,0.7,0.05,6934227.0,114.29,2.1,13.3
2020-05-20,2971.61,0.68,0.05,7037258.0,114.29,2.1,13.3
2020-05-21,2948.51,0.68,0.05,7037258.0,114.29,2.1,13.3
2020-05-22,2955.45,0.66,0.05,7037258.0,114.29,2.1,13.3
2020-05-26,2991.77,0.69,0.05,7037258.0,114.29,2.1,13.3
2020-05-27,3036.13,0.68,0.05,7097316.0,114.29,2.1,13.3
2020-05-28,3029.73,0.7,0.05,7097316.0,114.29,2.1,13.3
2020-05-29,3044.31,0.65,0.05,7097316.0,114.29,2.1,13.3
2020-06-01,3055.73,0.66,0.08,7097316.0,108.4,1.95,11.1
2020-06-02,3080.82,0.68,0.08,7097316.0,108.4,1.95,11.1
2020-06-03,3122.87,0.77,0.08,7165217.0,108.4,1.95,11.1
2020-06-04,3112.35,0.82,0.08,7165217.0,108.4,1.95,11.1
2020-06-05,3193.93,0.91,0.08,7165217.0,108.4,1.95,11.1
2020-06-08,3232.39,0.88,0.08,7165217.0,108.4,1.95,11.1
2020-06-09,3207.18,0.84,0.08,7165217.0,108.4,1.95,11.1
2020-06-10,3190.14,0.75,0.08,7168936.0,108.4,1.95,11.1
2020-06-11,3002.1,0.66,0.08,7168936.0,108.4,1.95,11.1
2020-06-12,3041.31,0.71,0.08,7168936.0,108.4,1.95,11.1
2020-06-15,3066.59,0.71,0.08,7168936.0,108.4,1.95,11.1
2020-06-16,3124.74,0.75,0.08,7168936.0,108.4,1.95,11.1
2020-06-17,3113.49,0.74,0.08,7094690.0,108.4,1.95,11.1
2020-06-18,3115.34,0.71,0.08,7094690.0,108.4,1.95,11.1
2020-06-19,3097.74,0.7,0.08,7094690.0,108.4,1.95,11.1
2020-06-22,3117.86,0.71,0.08,7094690.0,108.4,1.95,11.1
2020-06-23,3131.29,0.72,0.08,7094690.0,108.4,1.95,11.1
2020-06-24,3050.33,0.69,0.08,7082302.0,108.4,1.95,11.1
2020-06-25,3083.76,0.68,0.08,7082302.0,108.4,1.95,11.1
2020-06-26,3009.05,0.64,0.08,7082302.0,108.4,1.95,11.1
2020-06-29,3053.24,0.64,0.08,7082302.0,108.4,1.95,11.1
2020-06-30,3100.29,0.66,0.08,7082302.0,101.96,1.92,11.1
2020-07-01,3115.86,0.69,0.09,7009040.0,101.96,1.91,10.2
2020-07-02,3130.01,0.68,0.09,7009040.0,101.96,1.91,10.2
2020-07-06,3179.72,0.69,0.09,7009040.0,101.96,1.91,10.2
2020-07-07,3145.32,0.65,0.09,7009040.0,101.96,1.91,10.2
2020-07-08,3169.94,0.67,0.09,6920716.0,101.96,1.91,10.2
2020-07-09,3152.05,0.62,0.09,6920716.0,101.96,1.91,10.2
2020-07-10,3185.04,0.65,0.09,6920716.0,101.96,1.91,10.2
2020-07-13,3155.22,0.64,0.09,6920716.0,101.96,1.91,10.2
2020-07-14,3197.52,0.63,0.09,6920716.0,101.96,1.91,10.2
2020-07-15,3226.56,0.64,0.09,6958604.0,101.96,1.91,10.2
2020-07-16,3215.57,0.62,0.09,6958604.0,101.96,1.91,10.2
2020-07-17,3224.73,0.64,0.09,6958604.0,101.96,1.91,10.2
2020-07-20,3251.84,0.62,0.09,6958604.0,101.96,1.91,10.2
2020-07-21,3257.3,0.61,0.09,6958604.0,101.96,1.91,10.2
2020-07-22,3276.02,0.6,0.09,6964755.0,101.96,1.91,10.2
2020-07-23,3235.66,0.59,0.09,6964755.0,101.96,1.91,10.2
2020-07-24,3215.63,0.59,0.09,6964755.0,101.96,1.91,10.2
2020-07-27,3239.41,0.62,0.09,6964755.0,101.96,1.91,10.2
2020-07-28,3218.44,0.59,0.09,6964755.0,101.96,1.91,10.2
2020-07-29,3258.44,0.58,0.09,6949032.0,101.96,1.91,10.2
2020-07-30,3246.22,0.55,0.09,6949032.0,101.96,1.91,10.2
2020-07-31,3271.12,0.55,0.09,6949032.0,101.1,1.85,10.2
2020-08-31,3500.31,0.72,0.1,6990418.0,100.44,1.74,8.4
2020-09-01,3526.65,0.68,0.09,6990418.0,100.44,1.69,7.8
2020-09-02,3580.84,0.66,0.09,7017492.0,100.44,1.69,7.8
2020-09-03,3455.06,0.63,0.09,7017492.0,100.44,1.69,7.8
2020-09-04,3426.96,0.72,0.09,7017492.0,100.44,1.69,7.8
2020-09-08,3331.84,0.69,0.09,7017492.0,100.44,1.69,7.8
2020-09-09,3398.96,0.71,0.09,7010614.0,100.44,1.69,7.8
2020-09-10,3339.19,0.68,0.09,7010614.0,100.44,1.69,7.8
2020-09-11,3340.97,0.67,0.09,7010614.0,100.44,1.69,7.8
2020-09-14,3383.54,0.68,0.09,7010614.0,100.44,1.69,7.8
2020-09-15,3401.2,0.68,0.09,7010614.0,100.44,1.69,7.8
2020-09-16,3385.49,0.69,0.09,7064475.0,100.44,1.69,7.8
2020-09-17,3357.01,0.69,0.09,7064475.0,100.44,1.69,7.8
2020-09-18,3319.47,0.7,0.09,7064475.0,100.44,1.69,7.8
2020-09-21,3281.06,0.68,0.09,7064475.0,100.44,1.69,7.8
2020-09-22,3315.57,0.68,0.09,7064475.0,100.44,1.69,7.8
2020-09-23,3236.92,0.68,0.09,7093161.0,100.44,1.69,7.8
2020-09-24,3246.59,0.67,0.09,7093161.0,100.44,1.69,7.8
2020-09-25,3298.46,0.66,0.09,7093161.0,100.44,1.69,7.8
2020-09-28,3351.6,0.67,0.09,7093161.0,100.44,1.69,7.8
2020-09-29,3335.47,0.66,0.09,7093161.0,100.44,1.69,7.8
2020-09-30,3363.0,0.69,0.09,7056129.0,99.95,1.75,7.8
2020-10-01,3380.8,0.68,0.09,7056129.0,99.95,1.77,6.9
2020-10-02,3348.44,0.7,0.09,7056129.0,99.95,1.77,6.9
2020-10-05,3408.63,0.78,0.09,7056129.0,99.95,1.77,6.9
2020-10-06,3360.95,0.76,0.09,7056129.0,99.95,1.77,6.9
2020-10-07,3419.45,0.81,0.09,7074649.0,99.95,1.77,6.9
2020-10-08,3446.83,0.78,0.09,7074649.0,99.95,1.77,6.9
2020-10-09,3477.13,0.79,0.09,7074649.0,99.95,1.77,6.9
2020-10-13,3511.93,0.74,0.09,7074649.0,99.95,1.77,6.9
2020-10-14,3488.67,0.73,0.09,7151426.0,99.95,1.77,6.9
2020-10-15,3483.34,0.74,0.09,7151426.0,99.95,1.77,6.9
2020-10-16,3483.81,0.76,0.09,7151426.0,99.95,1.77,6.9
2020-10-19,3426.92,0.78,0.09,7151426.0,99.95,1.77,6.9
2020-10-20,3443.12,0.81,0.09,7151426.0,99.95,1.77,6.9
2020-10-21,3435.56,0.83,0.09,7177265.0,99.95,1.77,6.9
2020-10-22,3453.49,0.87,0.09,7177265.0,99.95,1.77,6.9
2020-10-23,3465.39,0.85,0.09,7177265.0,99.95,1.77,6.9
2020-10-26,3400.97,0.81,0.09,7177265.0,99.95,1.77,6.9
2020-10-27,3390.68,0.79,0.09,7177265.0,99.95,1.77,6.9
2020-10-28,3271.03,0.79,0.09,7146306.0,99.95,1.77,6.9
2020-10-29,3310.11,0.85,0.09,7146306.0,99.95,1.77,6.9
2020-10-30,3269.96,0.88,0.09,7146306.0,99.95,1.77,6.9
2020-11-30,3621.63,0.84,0.09,7216480.0,97.2,1.65,6.7
2020-12-01,3662.45,0.92,0.09,7216480.0,97.2,1.61,6.7
2020-12-02,3669.01,0.95,0.09,7222414.0,97.2,1.61,6.7
2020-12-03,3666.72,0.92,0.09,7222414.0,97.2,1.61,6.7
2020-12-04,3699.12,0.97,0.09,7222414.0,97.2,1.61,6.7
2020-12-07,3691.96,0.94,0.09,7222414.0,97.2,1.61,6.7
2020-12-08,3702.25,0.92,0.09,7222414.0,97.2,1.61,6.7
2020-12-09,3672.82,0.95,0.09,7242658.0,97.2,1.61,6.7
2020-12-10,3668.1,0.92,0.09,7242658.0,97.2,1.61,6.7
2020-12-11,3663.46,0.9,0.09,7242658.0,97.2,1.61,6.7
2020-12-14,3647.49,0.9,0.09,7242658.0,97.2,1.61,6.7
2020-12-15,3694.62,0.92,0.09,7242658.0,97.2,1.61,6.7
2020-12-16,3701.17,0.92,0.09,7362592.0,97.2,1.61,6.7
2020-12-17,3722.48,0.94,0.09,7362592.0,97.2,1.61,6.7
2020-12-18,3709.41,0.95,0.09,7362592.0,97.2,1.61,6.7
2020-12-21,3694.92,0.95,0.09,7362592.0,97.2,1.61,6.7
2020-12-22,3687.26,0.93,0.09,7362592.0,97.2,1.61,6.7
2020-12-23,3690.01,0.96,0.09,7404039.0,97.2,1.61,6.7
2020-12-24,3703.06,0.94,0.09,7404039.0,97.2,1.61,6.7
2020-12-28,3735.36,0.94,0.09,7404039.0,97.2,1.61,6.7
2020-12-29,3727.04,0.94,0.09,7404039.0,97.2,1.61,6.7
2020-12-30,3732.04,0.93,0.09,7363351.0,97.2,1.61,6.7
2020-12-31,3756.07,0.93,0.09,7363351.0,95.72,1.58,6.7
